Genes,GSM1551311_Normal.CEL,GSM1551312_Normal.CEL,GSM1551313_Normal.CEL,GSM1551314_Normal.CEL,GSM1551315_Normal.CEL,GSM1551316_Normal.CEL,GSM1551317_Normal.CEL,GSM1551318_Normal.CEL,GSM1551319_Normal.CEL,GSM1551320_Normal.CEL,GSM1551411_Cancer.CEL,GSM1551412_Cancer.CEL,GSM1551413_Cancer.CEL,GSM1551414_Cancer.CEL,GSM1551415_Cancer.CEL,GSM1551416_Cancer.CEL,GSM1551417_Cancer.CEL,GSM1551418_Cancer.CEL,GSM1551419_Cancer.CEL,GSM1551420_Cancer.CEL,,
SPINK5,13.714151,13.02284786,14.31331954,13.75693266,14.20647227,14.09822824,14.03295429,14.59247954,11.7056964,14.26025863,9.271954859,14.38996266,13.78366931,7.987758558,11.76728098,12.58423009,8.440805476,9.420847296,8.443816804,8.399523948,,
BBOX1,11.07435705,10.66788787,9.166836491,11.11621948,9.793987474,10.52294679,10.28260997,10.42083604,8.407785179,11.41721537,8.008304464,8.368978015,9.690140033,4.921188319,7.068152373,6.904960524,5.76078291,5.149746682,4.893024132,5.812412644,,
TCN1,8.451906776,7.998174737,9.369689522,8.205232067,11.83636037,11.21640038,13.5563816,9.158539822,12.06101182,10.28645463,7.109831976,7.432315602,8.273565369,7.810303907,8.920013696,8.945122,6.343379395,7.374002237,7.276329199,7.482080952,,
S100A12,10.59699115,9.996805033,11.53203457,9.625703974,10.8058993,11.35516831,9.214657814,10.66271485,9.329036081,10.88304072,6.14685923,11.470465,9.970378537,7.375820669,7.454336053,9.216332069,5.347152354,5.962464839,9.169448015,6.239512153,,
KRT1,13.81833138,11.66439088,11.93771137,13.63941663,14.03374715,13.45346139,14.60246877,13.71464872,8.944889826,14.37130163,6.660238484,13.7252147,14.2189259,8.16722102,7.159389005,12.78096656,7.035810038,7.564916325,7.571114603,9.285117415,,
IL18,9.320976703,9.01429218,9.936043713,9.434387914,8.904967883,7.908200955,10.39035173,11.25497051,7.173383018,10.91596716,9.635717874,7.974271521,8.591970442,5.993910047,8.53436054,4.324946555,5.621493382,6.374356509,5.665410528,5.947774957,,
AIM2,7.783999295,7.685110878,8.037771,8.067373801,8.041615957,8.373546984,7.113161534,7.79194259,7.467393931,7.42617336,9.692026571,9.634587759,8.366308156,13.03952802,10.71358192,10.41443862,9.367944021,8.867653134,10.90452235,11.80660058,,
SYCP2,3.703831065,3.692787047,3.951342375,3.678841888,3.904766537,3.961418231,3.805014687,3.830321552,7.126171227,3.742063149,10.04565039,6.893119846,4.567751055,7.429623263,6.852810784,5.078201984,9.39717904,10.12942563,3.658997301,10.18613123,,
AKR1B10,13.21383667,13.6534565,12.78858165,13.29184375,12.88014061,9.804334327,11.53533364,12.15410414,12.0764338,12.69075334,9.015795808,12.13549933,11.95089693,11.93011584,10.09446867,7.237028776,8.164318871,9.233196737,7.480322097,6.72053344,,
ENDOU,10.42313058,10.27660967,11.1420872,10.02890359,10.90279311,7.929280371,9.315138342,10.83710933,9.164270262,11.74199334,7.353630174,11.06102985,10.01637579,7.335018468,7.017730167,6.81705012,6.095434687,6.224854508,6.558817669,6.631632278,,
DSG1,11.35744456,9.470269735,8.96425777,10.657612,10.2874567,7.282549696,11.74075549,12.57206743,4.333405849,12.05160874,4.071683027,11.32307481,11.27510016,4.861462595,4.656616861,10.54704448,3.774284882,3.754170773,4.789239831,4.957583922,,
SCEL,9.981887909,9.46861625,12.41702749,9.146787039,10.24016125,12.01056658,10.62178698,12.36323425,8.752887632,11.8387626,5.502641761,10.75573354,9.699414097,8.677757405,9.635320607,5.868004538,6.746106317,9.552869721,6.721216977,8.095826738,,
CDKN2A,6.113717855,5.612409571,5.429750154,6.757354167,5.544895854,9.019203509,6.552650342,5.825918223,9.947976344,6.444656965,10.81373221,10.40816203,8.792803098,11.64938055,10.99753318,11.68666134,9.786246294,10.23246694,9.346951634,12.01883851,,
ALOX12,11.66002129,10.53226606,13.30608182,10.16368399,12.25487158,9.440923303,10.41989968,13.11862238,7.404826577,13.14538462,7.253869015,8.477627624,11.86954709,7.872905783,8.522375861,7.727317223,6.72559291,6.714786724,7.418588473,7.992715959,,
TMPRSS11D,11.87240999,12.07023892,13.65644407,11.96918832,12.5116429,11.29633549,11.7373193,13.15602205,11.6599552,12.88797858,7.610990412,12.71119645,12.43428087,9.190993372,10.60839305,9.453713181,8.209749279,8.462450443,7.246958273,6.831166509,,
CRISP3,10.76993264,5.93195049,12.73472215,9.372832281,11.07130306,12.17893313,10.28405544,13.14013382,9.05744664,12.48013883,3.826472098,5.703304153,10.30330361,3.93073493,4.084973287,4.08318204,3.903994605,3.619506909,4.129677532,4.295229527,,
KRT13,14.82528406,14.94822114,14.98779332,14.972679,14.98239694,7.629005717,14.56350093,14.97134456,14.22952341,14.99533022,7.285386839,14.72712145,14.86900199,6.444309095,13.21973412,8.136194876,8.752206051,10.891682,6.109559846,5.796629283,,
EDN3,8.098675796,11.54814773,6.733900543,9.904473927,10.13581921,8.863225796,9.298849214,13.13347338,5.411226739,12.34243185,5.709016075,6.118934313,9.498370856,6.160504572,6.371374302,6.253479352,5.34243004,6.239734683,5.802781151,5.682827726,,
ELAVL2,5.839118811,5.273323538,5.832578819,5.768267328,5.92637101,6.236681966,5.648791806,5.679544634,5.895159116,5.648437443,7.118191388,5.978911009,5.819623944,5.839903477,5.820825681,6.211453023,5.987385964,5.565814352,6.89218074,6.721218034,,
AKR1C3,10.31798016,10.49229989,9.845445151,11.06621337,9.001044588,10.52431962,11.30645235,8.081193464,10.27827011,10.3305155,7.618556357,7.362777368,7.975909516,5.435795516,12.53354708,7.917672506,8.413673278,6.128158152,5.360885042,6.528696775,,
NSG1,11.45110923,11.18818684,11.50750653,11.95187776,10.55204258,10.10439438,12.28991177,10.89332788,10.45249255,11.21658565,8.753319127,9.696602346,10.69466149,8.186104508,10.34013231,9.344935275,6.924764348,6.730284059,7.071308281,8.801268257,,
NSG1,10.08002035,10.13901179,10.34228306,11.08528311,8.977631408,11.88550982,10.73273863,10.7168876,10.08546043,10.94592583,8.91382104,8.347340829,10.24847271,7.018481012,9.036984614,7.93449156,7.762142238,6.869582799,6.704639431,9.37759709,,
CDKN2A,7.604376326,7.572210217,7.542855105,7.552696411,7.562462878,7.632432202,7.490030338,7.34585376,8.545927983,6.92230402,8.832133937,9.652659365,8.404974284,10.72430628,10.85902506,11.45224676,7.712286412,8.370176626,8.074875358,8.047525739,,
INHBA,6.470843654,7.098115873,7.228763823,6.918447017,6.699463319,6.678889616,6.562374917,5.946868248,7.494126108,6.448411001,6.99838291,7.192681754,7.696954109,6.673869829,6.594804331,8.211930909,8.357095739,7.000108416,6.882195058,11.58447434,,
CDKN2A,6.871086572,6.450537104,6.244828518,6.287796032,6.473636186,6.787891024,5.920640849,6.07241601,6.203690026,6.143992676,6.250522224,6.590329361,6.415963359,6.475002995,6.244828518,6.352347249,5.794229285,6.074907523,6.797443432,6.374305171,,
SERPINB13,12.92235487,12.45934296,13.18280697,12.75433906,12.21521762,12.76115848,12.49344479,13.22037995,13.11443712,12.94751687,4.792907636,12.98095844,12.55030351,11.80169256,11.55354275,6.559767084,10.64372737,10.37408263,12.48120591,8.999246285,,
SERPINB13,8.47949495,8.547333064,10.00887402,8.524882251,8.55649548,7.765029413,10.03610882,9.526861674,9.701801668,9.78466117,7.192082867,9.630630478,8.236805938,7.97703881,7.68111035,7.269612278,6.675270068,7.052080364,9.627969196,6.137527363,,
CXCL8,4.517658932,5.042163683,4.795867751,4.730463401,4.829012625,4.864520716,4.604563289,4.70020931,7.76215443,4.795768604,5.016293736,5.228713203,4.7414415,4.644213716,4.823150795,4.777765425,5.016230772,5.420036867,7.42323504,4.810789217,,
HPGD,9.733198955,8.815029705,10.236485,9.301865395,9.143724006,12.47130557,11.93352359,11.72083296,7.90486213,10.94281556,6.176086286,10.9329941,10.21186382,5.859702303,5.960981272,6.02122798,8.500685431,8.549468206,4.644618588,6.449005492,,
HPGD,7.049385005,6.830605736,7.160467648,6.549379733,6.738909761,7.043286352,7.476375246,8.114338578,6.361809283,8.956360241,5.440422413,7.418174508,6.801081358,5.631844154,5.964555319,5.950471793,5.913897018,5.953946604,5.639213396,5.862717496,,
HOPX,12.66450522,12.08840289,12.43718477,11.92644142,12.73299612,13.02271272,12.24858307,12.917773,10.22968947,12.95024225,7.749784148,11.44998358,11.72178735,8.68022138,9.074269093,10.32689432,9.533107153,7.683619594,6.756052138,9.825578554,,
FMO2,8.470092336,11.29363657,10.06796819,8.119700196,8.899981332,7.241251575,11.52233295,12.38465033,7.388723939,10.531792,6.800879846,6.801848934,8.925627428,7.083395814,7.110557999,6.503782497,6.963867476,6.964579606,6.749085724,6.815376761,,
KRT4,14.73339631,14.38736818,14.8997805,14.07698683,14.69505217,14.65556101,14.63278503,14.59655947,12.03043134,14.79304582,8.128444037,14.39941729,13.93054297,9.52469523,13.24877075,8.948587612,11.15843701,13.25997722,8.545717636,8.219616199,,
SOSTDC1,11.05484435,8.941261999,9.426762718,11.53558428,9.532767507,9.923415665,9.329445529,9.884396556,7.043784275,10.6329368,5.719009623,9.129148744,9.14601651,6.424978554,6.555585101,11.15129457,5.575061158,5.896011536,5.679606166,6.709077834,,
NSG1,9.468214196,9.379361351,9.127303598,10.28805119,9.131327384,8.711149967,10.49511381,9.122687076,8.963003616,9.811384083,8.559646834,8.317687193,8.936163515,8.238037033,8.592648246,8.478030433,7.753702239,7.711277221,7.182049345,7.954937199,,
SPRR1A,14.39482371,14.4081454,14.76963452,14.30129646,14.60014985,14.41685921,14.55398976,14.68482042,12.93583202,14.51796472,6.541365418,14.28296117,14.28082228,11.50579839,14.09928704,13.52286,8.19185239,8.130957035,7.325146506,10.99384324,,
KRT4,8.699513099,9.906524106,8.959591758,9.24676001,8.803314895,10.10487484,9.28772409,9.131023637,8.55410534,8.831017306,5.642592092,8.999696932,9.13852344,6.400708541,8.582182331,6.49718753,7.429917236,8.389769379,6.356380588,5.988702629,,
SPRR1A,13.00868435,13.66137401,14.15420653,12.79168936,14.36735274,11.82092755,13.42781202,13.56255377,10.42958451,13.1239015,6.889114012,12.88617491,12.58430139,10.00728275,11.8805314,11.45255196,7.093129047,7.877810636,7.64395328,8.655482142,,
IVL,12.64380401,12.47320168,12.90962355,11.91899763,12.90948804,12.11308376,12.13365758,12.29013716,9.566614814,12.97401425,8.242971413,12.15952432,12.03847504,8.556396121,10.47942632,9.230864265,6.540062979,7.403850821,8.157525242,8.596844796,,
GYS2,7.095299967,5.556349255,9.961848012,6.033807427,8.281732765,9.745866724,6.027765256,10.34565008,4.165768588,8.655569533,4.427428898,5.529003952,6.039402029,4.664304033,4.814537914,4.722241537,4.04289378,4.334705481,5.083083771,4.734009122,,
UPK1A,11.21387605,9.079861672,11.6228663,11.31598538,11.60092094,9.100928869,10.57704362,12.35374316,6.922721494,12.14456358,7.451234561,11.13368592,11.03018146,8.052202774,8.138916216,7.563310129,6.888634997,6.343486418,6.641501759,7.534114232,,
TTC22,6.087248581,5.851665807,6.026488514,5.925038312,5.899071184,6.359394678,5.856407117,5.773451643,5.467169526,5.67009625,5.267207919,5.926034011,5.893146668,5.629092429,6.110454547,5.496111752,5.143298346,5.274837665,5.779720691,5.910277941,,
TTC22,4.116338547,4.540980985,5.106191251,4.31949652,4.35150352,4.256456397,4.360994464,4.52932774,4.020299771,4.56279842,3.764860002,4.394352532,4.107309913,3.892929007,4.523054527,4.096348882,3.740970748,4.240676551,4.486687262,3.871187917,,
FLG,5.145134544,5.204904054,11.17976296,5.081107234,5.403243047,11.34983266,11.59180106,11.81955804,5.223188796,10.14035977,4.612018583,6.809289925,6.005673087,4.731558494,4.477201472,6.437256379,4.445728311,4.655712794,4.557356746,8.607101824,,
SERPINB13,6.821683838,6.463365469,6.119736779,6.471337319,6.719963003,6.754342731,6.446642863,6.315936231,7.232973809,6.762263045,6.22563727,6.065736321,6.296626907,6.630668612,6.535920676,6.127121531,5.070903259,5.542869386,6.437292257,6.356958579,,
SERPINB13,7.225983735,6.757721134,6.459300959,6.491293838,7.144100042,6.879055991,6.983883565,7.752993348,8.560881982,7.623449227,6.454681198,6.661287894,6.845645673,6.6547663,6.717987177,6.699148142,5.733858348,6.806485017,7.38674061,6.4847112,,
SERPINB13,6.291861888,6.733484085,6.263387852,5.942170837,6.545198949,5.640509732,7.057402849,8.518000503,8.58638814,7.889068759,4.265022019,7.199098864,5.163960092,5.934916797,5.448462179,4.617987047,5.022239277,4.423857635,5.99330893,4.280730347,,
EDN3,6.584366918,6.696541726,6.118330472,6.4245166,6.731285372,6.449610111,6.201073557,6.940069407,5.955063156,6.98159113,5.971068832,6.203756076,6.580985061,6.296806631,6.348946508,5.961826278,5.43762064,5.912637615,6.369450369,6.105680126,,
SERPINB13,12.98034681,12.56396145,13.53901055,12.66734304,12.62215725,13.21318626,12.78944912,13.28725448,13.14273491,13.2778233,6.017794387,13.30130048,12.44096866,11.96386294,11.34716263,7.658498576,10.70159733,10.59957037,12.27347326,8.310170212,,
CXCL14,10.34262848,11.33599622,12.17546561,11.94073604,10.69936486,10.53650592,11.05912307,11.18125371,9.778560899,11.3440054,7.319742883,8.844879536,11.83172482,6.357738309,10.20930415,11.21457704,9.063161879,8.468612921,5.360796553,7.5525966,,
SPRR3,14.51888618,14.2465669,14.77493127,14.32551932,14.64864355,12.89054473,13.95842554,14.6971156,12.36767266,14.70857456,7.170217773,14.19519612,13.91262368,11.39325512,14.50753208,8.914252586,6.619395174,9.393044501,7.004119586,7.515426487,,
RHCG,13.79980878,13.79344691,14.00438238,13.86628061,14.05749806,10.41914595,13.72678696,13.75575135,12.07342369,14.54982229,7.51245634,13.91344781,13.46518439,9.206185861,10.17791669,10.03111567,7.400450151,8.528884292,12.16997261,7.476681828,,
CLCA4,10.50507639,10.23635368,12.4887314,8.897751589,11.65443942,13.34755653,13.00141889,11.62641907,11.56805303,12.00844317,5.24637504,10.89030544,9.360317722,6.318735213,9.136550819,6.44318113,6.096749341,7.463431956,5.194249528,6.205977437,,
CRNN,13.89121931,13.41250207,14.7498574,13.42157235,14.44750283,13.31671075,14.0296721,14.69888834,10.7327533,14.64422651,6.480736513,13.63477528,13.55500497,7.237126805,8.275219587,7.779775439,6.787627991,7.973973285,7.846437854,7.590218631,,
TTC22,8.249648646,8.063299305,8.733064617,8.34850401,8.411264381,8.815765813,8.326148073,8.44986405,8.400926043,8.350242447,8.054757896,8.701947512,8.351492413,8.210447441,8.165381573,7.9879275,7.703291147,8.61536141,8.304627872,8.36898969,,
TMPRSS11E,10.6539851,10.50346145,12.66822319,10.32192636,10.92849596,10.11976758,10.12440948,12.46378427,8.296318233,12.32886739,8.335550172,11.85034071,10.18433078,5.634779553,10.35286265,6.247314077,4.835988284,7.251101831,5.422210482,6.052100687,,
CRCT1,11.47295503,10.94089464,14.1975055,9.995700638,13.02336516,10.33175318,11.77290681,13.85264271,6.133270245,13.49842142,6.418654308,9.259287218,11.81360867,11.11932343,7.079805935,9.187455011,6.162008674,6.110248413,7.908584596,7.789472855,,
CWH43,11.11144434,10.22029382,11.24407894,11.10405112,10.43006405,10.86558348,10.16780327,11.33829271,6.800035024,11.26259057,6.281814189,6.705398751,9.723521637,6.9408147,7.015239848,9.185565672,5.846418543,5.811204268,7.119645971,6.773640438,,
CWH43,9.036268694,8.308845901,9.012505099,8.893474392,8.160147622,6.213812546,8.036344812,9.098128657,4.318419366,9.577609353,4.144640766,4.436387052,7.239159741,4.300818196,4.492435272,6.987626893,4.251359168,4.241911478,5.206675848,4.704176801,,
CXCL14,11.86965095,12.6578231,13.04912424,13.16383216,12.43536343,12.68328757,12.22820876,12.93801705,11.26032863,12.92288294,8.673906027,9.378572894,12.58982904,8.748080406,11.80411861,12.84501674,10.25505192,9.615081264,7.122474089,8.734237853,,
GJB2,13.41395366,13.44303018,13.98833515,13.56083662,13.49047233,13.47682222,13.50505649,13.78013711,13.50737367,13.74577726,8.547566579,13.57795839,13.65505236,11.62796079,8.209053239,12.68085257,6.413014338,7.519863252,10.49091175,11.98769686,,
ZIC2,5.704753388,5.054615464,5.450220827,5.001449214,5.781589926,5.876923677,5.585228793,5.281090496,5.911236153,5.072711019,9.462277341,9.485100142,6.74731289,7.771232485,9.064247624,8.690978342,9.609084935,8.86893973,9.068856648,10.34713994,,
SPINK7,12.06397915,9.911380703,13.54341078,9.912588833,12.87333562,12.29971977,10.7889858,13.85922993,5.98933611,13.29902572,5.843277692,11.49613104,12.35444785,6.278222855,8.344642671,6.96723099,6.051547791,5.713263582,6.041217767,7.485091321,,
LCE3D,9.695002663,8.829919187,13.7548834,10.5784152,12.33056923,10.71568385,12.58936893,14.2010603,7.506356119,12.79938878,7.786994984,8.752446027,13.14001318,9.2835129,7.762550256,8.776561423,6.973686608,7.22720983,7.856638598,9.498444078,,
CNFN,13.05562257,11.49990188,13.98430369,10.77312221,13.22018732,11.44619359,13.15565149,13.85185987,10.1576206,13.34323597,6.379159214,13.01061456,13.02961606,10.04650798,11.81671255,7.926410886,6.787882916,6.192629347,7.126201163,7.516099349,,
CTHRC1,4.951484358,5.595719917,5.691104345,5.437903122,6.023267073,8.349354633,6.138657247,6.993656069,7.827836035,5.908096377,12.19587151,9.456444999,9.607414833,10.95560094,10.32285389,8.465179998,10.35996021,9.655022881,9.411985978,12.85723375,,
DSC2,13.49397449,13.16144839,13.42366056,13.35499805,13.27531393,13.33882866,12.59438383,13.54206672,12.37547521,13.58719542,10.37954416,13.48744054,13.13157632,12.09839734,11.11565905,12.0572157,9.594212803,9.812803338,9.846290711,11.22374081,,
INHBA,4.373866216,5.731088099,6.032430375,4.187944643,4.580184645,7.812708125,4.663467675,6.554227094,6.69503579,4.477545135,8.286704597,7.221313111,8.630168694,6.102668546,7.799358566,7.874125759,8.870052071,7.609678407,5.667257452,12.80914573,,
MUC15,10.3508891,9.291811509,9.599756302,9.970197714,9.423007967,9.789128928,9.880416132,11.16706415,8.544223297,11.11433185,6.159705174,10.11416007,9.064104788,5.797008795,8.374406697,5.637154245,6.513749763,7.241719175,7.030242037,6.37055634,,
MUC15,8.638913823,7.097270624,7.18198071,6.792370526,7.737763928,7.422240439,8.282242624,8.890244548,5.953579169,8.990684882,5.281239049,9.15518054,7.808421781,5.27205905,7.402973681,5.053376135,4.794677421,5.304368549,4.775949774,4.335731205,,
ELAVL2,5.286265729,5.555943417,5.927254011,5.477631073,5.874649689,5.947624753,5.834136669,6.190526585,7.526914841,5.452409876,11.41930119,8.734237853,6.272280979,5.292838908,7.90538668,8.161185909,8.54333279,7.712950015,10.12120852,10.01837218,,
FMO2,8.902608116,11.1192581,12.33195269,9.586677308,9.92794195,8.886643785,10.91140128,12.87291737,8.43048312,10.4711047,8.579249508,7.896618343,9.107767969,8.942567108,8.387171375,8.411344545,8.058911518,7.892051909,8.122550556,8.407910316,,
DAPL1,13.44856396,11.96691964,12.14287983,12.8276036,12.14375244,12.08240078,11.26545399,11.47431979,11.11031763,11.7493866,7.025694875,12.86944056,12.99888315,6.643172118,11.95085451,7.068413894,8.352058121,7.457276814,7.006925036,6.489500461,,
TPRG1,11.8713889,9.943246302,12.35944086,10.493566,11.99600372,12.19301193,11.25974489,11.76897441,8.117371671,12.0121515,7.456963519,9.865782766,9.77234916,7.412957633,10.56117472,8.185176341,6.749385346,6.44997925,6.888521319,7.867883274,,
KRTDAP,14.47415331,13.45326108,14.54745022,14.41828108,14.36738538,13.41202404,14.57893536,14.47655302,9.535891429,14.38954457,5.68620463,14.65686565,14.5643775,13.48644646,7.436276791,8.483626165,5.177418917,7.258042656,7.19575608,10.97916846,,
DSC2,11.23247233,10.05742164,11.27940694,10.56876936,10.76682762,9.995008786,9.725766032,11.48979904,7.645186984,10.83095822,5.231918396,10.70303302,10.39751769,7.840533605,6.839298687,8.575985474,5.547721405,5.583445652,5.866677568,5.60663185,,
GJB6,12.6646259,12.78259843,13.06981721,12.7087452,12.75983205,13.17586131,12.69990648,13.07102842,12.55988387,13.00019232,6.679956472,13.21522094,12.35366735,9.69331102,6.063308756,12.37942734,4.841879158,6.417197727,8.817266431,11.33169746,,
SCEL,9.679605543,8.835300375,11.0012046,9.290158775,9.198348578,11.65172924,10.08260236,11.14347221,8.182813128,10.86223688,5.37004696,9.831393934,8.725332752,7.203021085,8.671962998,5.289337531,5.335269008,7.729586393,5.673142102,7.467692072,,
SPRR3,13.6941702,14.52765887,15.03241216,14.17452771,14.76485447,13.76312666,13.39080854,14.45077607,11.07404917,14.10212397,8.160992172,13.57943506,14.20780447,12.53291971,11.87399977,13.99199959,7.727578373,9.244436182,8.8801182,9.78725909,,
SBSN,13.14415745,13.1496419,14.011297,13.59309959,13.87536464,10.41523874,13.55938014,13.69632492,8.73728358,14.24230384,7.40236603,12.95321975,13.23280356,11.0018731,7.406597907,10.2375907,7.169080005,7.536380303,7.196881372,8.011037933,,
TTC22,12.31743682,12.07100723,13.28316608,12.46516967,12.62664691,13.10703611,12.59716917,12.55291092,11.23598669,12.26975667,8.077795996,12.79781566,12.93402616,10.15479687,9.922464165,10.10431794,7.604464681,8.997442959,9.265083393,8.799684996,,
